game,turn,on_turn_player,nested_pick_orig,flat_pick,nested_top_pick,nested_top_wpct,nested_wpct_for_flat_pick,cgp
17,0,0,(exch AAEOU),(exch AAOUYY),8F AYU,0.511610,0.501499,15/15/15/15/15/15/15/15/15/15/15/15/15/15/15 AAEOUYY/AAIJLRX 0/0 0
17,1,1,8F RAJ,8G RAJ,8G RAJ,0.569258,0.569258,15/15/15/15/15/15/15/15/15/15/15/15/15/15/15 AAIJLRX/GHIMRYY 0/0 1
17,2,0,F6 MY(R)RH,F5 MYR(R)HY,F6 MY(R)RH,0.509642,0.506283,15/15/15/15/15/15/15/5RAJ7/15/15/15/15/15/15/15 GHIMRYY/AILNTX? 0/20 0
17,4,0,11C GOEY,11E OYE,11C GOEY,0.277779,0.269529,15/15/15/15/15/5M9/5Y9/5RAJ7/5R9/2ANTHeLIX5/15/15/15/15/15 EGIINOY/EEFILOU 27/103 0
17,8,0,H10 (LI)NGLE,I7 EAL(IN)G,I6 LOAN(IN)G,0.257309,0.184248,15/15/15/15/4W10/4EM9/4BY9/5RAJ7/2FOUR9/2ANTHeLIX5/2GOEY1INIA4/15/15/15/15 AEEGLNO/AADEILS 90/158 0
17,12,0,O8 TONKE(D),12L KETO,O8 TONKE(D),0.229513,0.137213,15/15/15/3P11/3AW10/3WEM9/3ABY9/5RAJA6/2FOUR9/2ANTHeLIX5/2GOEY1INIA4/7N7/7GOLIASED/7L7/7E7 AEKLNOT/BCEINOU 153/241 0
18,0,0,8F TIK,8G KIT,8G KIP,0.577143,0.563879,15/15/15/15/15/15/15/15/15/15/15/15/15/15/15 IKPRSTT/AEEGLPT 0/0 0
18,1,1,I6 PEAG,I7 PEG,I7 PEG,0.518108,0.518108,15/15/15/15/15/15/15/5TIK7/15/15/15/15/15/15/15 AEEGLPT/OOPQRST 0/14 0
18,3,1,J2 TENAIL,9E LIN,9G NA(G),0.492697,0.457872,15/15/15/15/15/8P6/6Q1E6/5TIKA6/8G6/15/15/15/15/15/15 AEILLNT/MOOPRST 18/35 0
18,6,0,5D AVOWS,2E OW,2F WO(R)S(T),0.738483,0.737459,7T7/7R1T5/3PROMOTES4/7Y1N5/9A5/8PI5/6Q1EL5/5TIKA6/8G6/15/15/15/15/15/15 AIOOSVW/DDILNUW 101/69 0
18,8,0,2F ME(R)I(T),4B MOI,2F ME(R)I(T),0.728134,0.708730,7T7/7R1T5/3PROMOTES4/7Y1N5/3AVOWS1AW4/8PIU4/6Q1ELD4/5TIKA6/8G6/15/15/15/15/15/15 EIIMORT/BDILNR? 131/102 0
19,0,0,8E AWOKE,8H AWOKE,8F AWOKE,0.539144,0.521418,15/15/15/15/15/15/15/15/15/15/15/15/15/15/15 AEEKOUW/HJLSTTX 0/0 0
19,2,0,H5 WEA(K),9G (L)AW,9G (L)AW,0.682880,0.682880,15/15/15/15/15/15/6J8/4AWOKE6/6L8/6T8/15/15/15/15/15 AAEGUW?/HNORSTX 24/20 0
19,4,0,E4 GUAV(A),K10 UVA,K10 UVEA,0.635435,0.626533,15/15/15/15/7W7/7E7/6JA7/4AWOKEN5/6L2O5/6T2X5/15/15/15/15/15 AAEGUV?/AHRSTTT 44/59 0
19,6,0,11A hAPPEnS,11D PAPS,11B aPPeASE,0.750220,0.747197,15/15/15/4G10/4U2W7/4A2ET6/4V1JAR6/4AWOKEN5/6L1TO5/6T2X5/15/15/15/15/15 AEPPS??/AEHLSTY 62/81 0
19,7,1,A6 HEALT(h)Y,B10 H(A)YLE,B10 H(A)YLE,0.405887,0.405887,15/15/15/4G10/4U2W7/4A2ET6/4V1JAR6/4AWOKEN5/6L1TO5/6T2X5/hAPPEnS8/15/15/15/15 AEHLSTY/ABCGLLN 81/142 0
