game,turn,on_turn_player,nested_pick,flat_pick,flat_wpct,flat_wpct_for_nested_pick,cgp
5,4,0,J9 (A)JI,J9 (A)JI,0.658320,0.658320,15/15/15/15/15/6SNAB5/6YON6/3WIVED7/6NIPA5/15/15/15/15/15/15 IIJLNST/AEGINRY 56/46 0
5,5,1,D8 (W)EARYING,D8 (W)EARYING,0.612507,0.612507,15/15/15/15/15/6SNAB5/6YON6/3WIVED7/6NIPA5/9J5/9I5/15/15/15/15 AEGINRY/EILNRST 46/82 0
5,6,0,15A TIN(G)LERS,15A RIN(G)LETS,0.761915,0.678793,15/15/15/15/15/6SNAB5/6YON6/3WIVED7/3E2NIPA5/3A5J5/3R5I5/3Y11/3I11/3N11/3G11 EILNRST/EIIRUZ? 82/130 0
5,7,1,14F ZE,14F ZE,0.347050,0.347050,15/15/15/15/15/6SNAB5/6YON6/3WIVED7/3E2NIPA5/3A5J5/3R5I5/3Y11/3I11/3N11/TINGLERS7 EIIRUZ?/AEGGLLX 130/213 0
5,8,0,11B GA(R)GLE,C12 AX,0.584061,0.574063,15/15/15/15/15/6SNAB5/6YON6/3WIVED7/3E2NIPA5/3A5J5/3R5I5/3Y11/3I11/3N1ZE8/TINGLERS7 AEGGLLX/IIRRTU? 213/194 0
5,9,1,12G RIT,H11 RIT,0.410533,0.368485,15/15/15/15/15/6SNAB5/6YON6/3WIVED7/3E2NIPA5/3A5J5/1GARGLE2I5/3Y11/3I11/3N1ZE8/TINGLERS7 IIRRTU?/DKLSSTX 194/229 0
5,10,0,C10 D(A)KS,H11 D(I)SK(S),0.790402,0.781922,15/15/15/15/15/6SNAB5/6YON6/3WIVED7/3E2NIPA5/3A5J5/1GARGLE2I5/3Y2RIT6/3I11/3N1ZE8/TINGLERS7 DKLSSTX/BIIRUU? 229/200 0
5,11,1,(exch BIUU),I12 (T)UI,0.249463,0.243890,15/15/15/15/15/6SNAB5/6YON6/3WIVED7/3E2NIPA5/2DA5J5/1GARGLE2I5/2KY2RIT6/2SI11/3N1ZE8/TINGLERS7 BIIRUU?/AFHLSTX 200/263 0
5,12,0,K11 FALX,K11 FLAX,0.923358,0.920948,15/15/15/15/15/6SNAB5/6YON6/3WIVED7/3E2NIPA5/2DA5J5/1GARGLE2I5/2KY2RIT6/2SI11/3N1ZE8/TINGLERS7 AFHLSTX/AIOORT? 263/200 1
5,13,1,5I ROOIkAT,5I ROOIkAT,0.212015,0.212015,15/15/15/15/15/6SNAB5/6YON6/3WIVED7/3E2NIPA5/2DA5J5/1GARGLE2IF4/2KY2RIT1A4/2SI6L4/3N1ZE3X4/TINGLERS7 AIOORT?/HIMSTTU 200/301 0
