game,turn,on_turn_player,inner_calls,inner_rollouts,inner_agree_count,inner_agree_rate,inner_loss_mean,inner_loss_stddev,inner_loss_max,inner_early_stops,inner_early_stop_rate,nested_pick,rack,cgp
1,5,1,13160,2898204,3236,0.245897,0.035056,0.048713,0.605384,4401,0.334422,9C JAY,ACEIJPY,15/15/10E4/10I4/9ID4/9RE4/9O5/4FIQH1N5/7IWI5/7CEZVE3/9E5/9D5/15/15/15 ACEIJPY/AENTTVW 47/146 0
1,6,0,12476,2772599,2859,0.229160,0.058439,0.073694,0.627654,3890,0.311799,L1 VAWTE,AENTTVW,15/15/10E4/10I4/9ID4/9RE4/9O5/4FIQH1N5/2JAY2IWI5/7CEZVE3/9E5/9D5/15/15/15 AENTTVW/CEIIPSS 146/76 0
1,7,1,11904,2611806,2696,0.226478,0.043977,0.061531,0.569135,3978,0.334173,4I IS(IT),CEIIPSS,11V3/11A3/10EW3/10IT3/9IDE3/9RE4/9O5/4FIQH1N5/2JAY2IWI5/7CEZVE3/9E5/9D5/15/15/15 CEIIPSS/ABENNTT 76/189 0
1,8,0,12636,2850274,2834,0.224280,0.045288,0.060758,0.674486,3594,0.284425,E4 TABE(FY),ABENNTT,11V3/11A3/10EW3/8ISIT3/9IDE3/9RE4/9O5/4FIQH1N5/2JAY2IWI5/7CEZVE3/9E5/9D5/15/15/15 ABENNTT/BCEIPRS 189/99 0
1,9,1,11560,2577196,2415,0.208910,0.040872,0.059425,0.704566,3517,0.304239,M6 CREPS,BCEIPRS,11V3/11A3/10EW3/4T3ISIT3/4A4IDE3/4B4RE4/4E4O5/4FIQH1N5/2JAY2IWI5/7CEZVE3/9E5/9D5/15/15/15 BCEIPRS/EFNNOST 99/217 0
1,10,0,12224,2711795,2551,0.208688,0.047790,0.067451,0.761493,3747,0.306528,8L F(E)NT,EFNNOST,11V3/11A3/10EW3/4T3ISIT3/4A4IDE3/4B4RE1C2/4E4O2R2/4FIQH1N2E2/2JAY2IWI2P2/7CEZVES2/9E5/9D5/15/15/15 EFNNOST/BDIIMTT 217/132 0
1,11,1,11668,2569123,2798,0.239801,0.024577,0.044673,0.565363,3865,0.331248,12H TI(D)BIT,BDIIMTT,11V3/11A3/10EW3/4T3ISIT3/4A4IDE3/4B4RE1C2/4E4O2R2/4FIQH1N1FENT/2JAY2IWI2P2/7CEZVES2/9E5/9D5/15/15/15 BDIIMTT/DEGNNOS 132/250 0
1,12,0,11756,2592907,2591,0.220398,0.038562,0.062106,0.712762,3861,0.328428,F3 NOG,DEGNNOS,11V3/11A3/10EW3/4T3ISIT3/4A4IDE3/4B4RE1C2/4E4O2R2/4FIQH1N1FENT/2JAY2IWI2P2/7CEZVES2/9E5/7TIDBIT2/15/15/15 DEGNNOS/ADELLMO 250/152 0
1,13,1,11308,2451399,2527,0.223470,0.034333,0.057587,0.691985,4046,0.357800,1J DE(V)ALL,ADELLMO,11V3/11A3/5N4EW3/4TO2ISIT3/4AG3IDE3/4B4RE1C2/4E4O2R2/4FIQH1N1FENT/2JAY2IWI2P2/7CEZVES2/9E5/7TIDBIT2/15/15/15 ADELLMO/ADENSUY 152/259 0
1,14,0,10712,2266182,1841,0.171863,0.050198,0.074992,0.752907,4424,0.412995,O5 UNS(T)EADY,ADENSUY,9DEVALL/11A3/5N4EW3/4TO2ISIT3/4AG3IDE3/4B4RE1C2/4E4O2R2/4FIQH1N1FENT/2JAY2IWI2P2/7CEZVES2/9E5/7TIDBIT2/15/15/15 ADENSUY/GMOOOPR 259/182 0
1,15,1,9703,2020008,1465,0.150984,0.028984,0.061432,0.785749,4206,0.433474,G1 ROOM,GMOOOPR,9DEVALL/11A3/5N4EW3/4TO2ISIT3/4AG3IDE2U/4B4RE1C1N/4E4O2R1S/4FIQH1N1FENT/2JAY2IWI2P1E/7CEZVES1A/9E4D/7TIDBIT1Y/15/15/15 GMOOOPR/EGLNOR? 182/325 0
1,16,0,9644,1958785,1632,0.169224,0.039309,0.099817,0.843577,4459,0.462360,O5 (UNSTEADY)iNG,EGLNOR?,6R2DEVALL/6O4A3/5NO3EW3/4TOM1ISIT3/4AG3IDE2U/4B4RE1C1N/4E4O2R1S/4FIQH1N1FENT/2JAY2IWI2P1E/7CEZVES1A/9E4D/7TIDBIT1Y/15/15/15 EGLNOR?/AGLOOPU 325/197 0
1,17,1,10219,2152831,1754,0.171641,0.020558,0.059524,0.867283,3984,0.389862,13E OUPA,AGLOOPU,6R2DEVALL/6O4A3/5NO3EW3/4TOM1ISIT3/4AG3IDE2U/4B4RE1C1N/4E4O2R1S/4FIQH1N1FENT/2JAY2IWI2P1E/7CEZVES1A/9E4D/7TIDBIT1Y/14i/14N/14G AGLOOPU/ELMORRU 197/370 0
