seed,game_pair,p0_type,p1_type,p0_score,p1_score,turns,elapsed_s,winner
72,1,SIMINF4,SIM4,484,422,24,80.88,SIMINF4
73,0,SIM4,SIMINF4,517,489,22,77.06,SIM4
73,1,SIMINF4,SIM4,445,494,30,77.64,SIM4
74,0,SIM4,SIMINF4,433,504,22,76.66,SIMINF4
74,1,SIMINF4,SIM4,400,488,31,90.14,SIM4
75,0,SIM4,SIMINF4,490,438,22,77.32,SIM4
75,1,SIMINF4,SIM4,504,431,24,81.74,SIMINF4
76,0,SIM4,SIMINF4,483,372,20,72.65,SIM4
76,1,SIMINF4,SIM4,510,363,28,77.60,SIMINF4
77,0,SIM4,SIMINF4,491,397,22,118.74,SIM4
77,1,SIMINF4,SIM4,470,426,21,78.96,SIMINF4
78,0,SIM4,SIMINF4,493,441,31,84.97,SIM4
78,1,SIMINF4,SIM4,444,475,32,93.72,SIM4
79,0,SIM4,SIMINF4,437,432,29,80.54,SIM4
79,1,SIMINF4,SIM4,454,353,21,77.38,SIMINF4
80,0,SIM4,SIMINF4,525,383,33,97.16,SIM4
80,1,SIMINF4,SIM4,553,338,23,82.34,SIMINF4
81,0,SIM4,SIMINF4,540,361,25,97.89,SIM4
81,1,SIMINF4,SIM4,471,338,25,100.79,SIMINF4
82,0,SIM4,SIMINF4,424,498,24,87.32,SIMINF4
82,1,SIMINF4,SIM4,504,474,22,80.79,SIMINF4
83,0,SIM4,SIMINF4,386,389,22,81.21,SIMINF4
83,1,SIMINF4,SIM4,452,395,25,81.38,SIMINF4
84,0,SIM4,SIMINF4,489,332,28,93.54,SIM4
84,1,SIMINF4,SIM4,439,358,27,89.51,SIMINF4
85,0,SIM4,SIMINF4,437,469,24,85.06,SIMINF4
85,1,SIMINF4,SIM4,443,454,24,85.77,SIM4
86,0,SIM4,SIMINF4,568,457,23,81.38,SIM4
86,1,SIMINF4,SIM4,516,471,22,75.32,SIMINF4
87,0,SIM4,SIMINF4,394,441,31,85.55,SIMINF4
87,1,SIMINF4,SIM4,465,405,31,86.03,SIMINF4
88,0,SIM4,SIMINF4,515,456,31,133.10,SIM4
88,1,SIMINF4,SIM4,396,416,22,85.36,SIM4
89,0,SIM4,SIMINF4,392,407,31,90.66,SIMINF4
89,1,SIMINF4,SIM4,406,423,23,93.62,SIM4
90,0,SIM4,SIMINF4,472,511,20,79.56,SIMINF4
90,1,SIMINF4,SIM4,575,417,23,88.86,SIMINF4
91,0,SIM4,SIMINF4,468,388,22,77.19,SIM4
91,1,SIMINF4,SIM4,508,411,22,76.93,SIMINF4
92,0,SIM4,SIMINF4,390,488,27,89.95,SIMINF4
92,1,SIMINF4,SIM4,328,381,25,81.81,SIM4
93,0,SIM4,SIMINF4,296,602,22,80.80,SIMINF4
93,1,SIMINF4,SIM4,461,506,23,88.30,SIM4
94,0,SIM4,SIMINF4,540,416,31,94.28,SIM4
94,1,SIMINF4,SIM4,411,353,23,85.79,SIMINF4
95,0,SIM4,SIMINF4,501,449,26,87.96,SIM4
95,1,SIMINF4,SIM4,446,516,25,89.84,SIM4
96,0,SIM4,SIMINF4,500,284,32,89.84,SIM4
96,1,SIMINF4,SIM4,457,336,23,84.73,SIMINF4
97,0,SIM4,SIMINF4,444,359,23,88.67,SIM4
97,1,SIMINF4,SIM4,425,355,23,89.88,SIMINF4
98,0,SIM4,SIMINF4,296,467,30,85.82,SIMINF4
98,1,SIMINF4,SIM4,361,474,32,90.18,SIM4
99,0,SIM4,SIMINF4,455,339,28,98.18,SIM4
99,1,SIMINF4,SIM4,464,372,34,98.66,SIMINF4
100,0,SIM4,SIMINF4,480,460,23,86.67,SIM4
100,1,SIMINF4,SIM4,412,471,26,89.86,SIM4
101,0,SIM4,SIMINF4,511,308,34,94.16,SIM4
101,1,SIMINF4,SIM4,528,418,30,85.66,SIMINF4
102,0,SIM4,SIMINF4,474,340,24,85.20,SIM4
102,1,SIMINF4,SIM4,449,342,30,77.42,SIMINF4
103,0,SIM4,SIMINF4,455,399,25,101.97,SIM4
103,1,SIMINF4,SIM4,354,453,36,106.81,SIM4
104,0,SIM4,SIMINF4,447,415,21,85.54,SIM4
104,1,SIMINF4,SIM4,431,374,22,85.33,SIMINF4
105,0,SIM4,SIMINF4,475,433,30,82.10,SIM4
105,1,SIMINF4,SIM4,461,350,31,85.85,SIMINF4
106,0,SIM4,SIMINF4,359,468,30,85.23,SIMINF4
106,1,SIMINF4,SIM4,439,427,22,81.53,SIMINF4
107,0,SIM4,SIMINF4,524,290,31,85.34,SIM4
107,1,SIMINF4,SIM4,447,334,24,90.40,SIMINF4
108,0,SIM4,SIMINF4,454,365,28,94.79,SIM4
108,1,SIMINF4,SIM4,351,387,29,90.01,SIM4
109,0,SIM4,SIMINF4,433,355,33,85.54,SIM4
109,1,SIMINF4,SIM4,443,382,26,86.88,SIMINF4
110,0,SIM4,SIMINF4,423,426,30,85.71,SIMINF4
110,1,SIMINF4,SIM4,382,473,30,86.48,SIM4
111,0,SIM4,SIMINF4,424,411,28,94.22,SIM4
111,1,SIMINF4,SIM4,420,363,25,85.08,SIMINF4
112,0,SIM4,SIMINF4,403,354,30,93.97,SIM4
112,1,SIMINF4,SIM4,431,405,23,132.31,SIMINF4
113,0,SIM4,SIMINF4,359,460,32,1333.63,SIMINF4
113,1,SIMINF4,SIM4,415,463,24,89.52,SIM4
114,0,SIM4,SIMINF4,386,434,22,85.01,SIMINF4
114,1,SIMINF4,SIM4,365,439,32,94.04,SIM4
115,0,SIM4,SIMINF4,514,326,29,85.71,SIM4
115,1,SIMINF4,SIM4,494,387,33,98.26,SIMINF4
116,0,SIM4,SIMINF4,493,361,30,85.60,SIM4
116,1,SIMINF4,SIM4,433,407,32,90.05,SIMINF4
117,0,SIM4,SIMINF4,467,487,22,81.62,SIMINF4
117,1,SIMINF4,SIM4,463,491,24,85.75,SIM4
118,0,SIM4,SIMINF4,400,461,33,82.27,SIMINF4
118,1,SIMINF4,SIM4,402,493,31,81.76,SIM4
119,0,SIM4,SIMINF4,438,456,32,99.07,SIMINF4
119,1,SIMINF4,SIM4,419,463,30,85.97,SIM4
120,0,SIM4,SIMINF4,458,362,24,89.77,SIM4
120,1,SIMINF4,SIM4,391,416,24,97.96,SIM4
121,0,SIM4,SIMINF4,405,495,32,94.21,SIMINF4
121,1,SIMINF4,SIM4,368,497,34,93.92,SIM4
122,0,SIM4,SIMINF4,410,480,36,114.85,SIMINF4
122,1,SIMINF4,SIM4,366,513,36,115.73,SIM4
123,0,SIM4,SIMINF4,451,452,30,91.66,SIMINF4
123,1,SIMINF4,SIM4,436,438,32,1363.43,SIM4
124,0,SIM4,SIMINF4,336,496,31,90.54,SIMINF4
124,1,SIMINF4,SIM4,376,498,32,86.49,SIM4
125,0,SIM4,SIMINF4,430,364,25,94.26,SIM4
125,1,SIMINF4,SIM4,357,403,34,98.53,SIM4
126,0,SIM4,SIMINF4,400,505,32,90.27,SIMINF4
126,1,SIMINF4,SIM4,365,446,28,136.20,SIM4
127,0,SIM4,SIMINF4,403,504,30,77.12,SIMINF4
127,1,SIMINF4,SIM4,519,378,24,85.18,SIMINF4
128,0,SIM4,SIMINF4,394,496,32,94.62,SIMINF4
128,1,SIMINF4,SIM4,443,399,32,94.15,SIMINF4
129,0,SIM4,SIMINF4,497,345,29,76.73,SIM4
129,1,SIMINF4,SIM4,481,362,29,84.79,SIMINF4
130,0,SIM4,SIMINF4,411,392,33,105.83,SIM4
130,1,SIMINF4,SIM4,441,356,25,94.18,SIMINF4
131,0,SIM4,SIMINF4,427,518,30,77.88,SIMINF4
131,1,SIMINF4,SIM4,328,420,34,95.06,SIM4
132,0,SIM4,SIMINF4,386,438,32,81.79,SIMINF4
132,1,SIMINF4,SIM4,465,478,24,78.55,SIM4
133,0,SIM4,SIMINF4,524,370,25,88.96,SIM4
133,1,SIMINF4,SIM4,466,311,22,88.31,SIMINF4
134,0,SIM4,SIMINF4,460,452,23,93.68,SIM4
134,1,SIMINF4,SIM4,480,404,29,1110.07,SIMINF4
135,0,SIM4,SIMINF4,478,378,24,81.09,SIM4
135,1,SIMINF4,SIM4,395,358,30,85.67,SIMINF4
136,0,SIM4,SIMINF4,351,408,25,90.26,SIMINF4
136,1,SIMINF4,SIM4,399,502,22,82.21,SIM4
137,0,SIM4,SIMINF4,403,354,34,103.07,SIM4
137,1,SIMINF4,SIM4,365,412,34,94.18,SIM4
138,0,SIM4,SIMINF4,487,450,26,77.04,SIM4
138,1,SIMINF4,SIM4,388,321,24,93.34,SIMINF4
139,0,SIM4,SIMINF4,406,473,27,98.26,SIMINF4
139,1,SIMINF4,SIM4,387,491,26,89.35,SIM4
140,0,SIM4,SIMINF4,410,466,32,90.09,SIMINF4
140,1,SIMINF4,SIM4,435,413,29,81.33,SIMINF4
141,0,SIM4,SIMINF4,483,367,30,95.37,SIM4
141,1,SIMINF4,SIM4,487,410,23,97.10,SIMINF4
